date,n1,n2,n3,n4,n5,e1,e2
2014-08-08,29,21,35,46,43,1,9
2014-08-12,22,19,7,16,33,5,2
2014-08-15,4,21,30,5,23,10,8
2014-08-19,11,34,47,4,7,7,8
2014-08-22,29,17,49,35,4,1,2
2014-08-26,36,48,45,10,22,11,4
2014-08-29,32,38,26,9,2,3,6
2014-09-02,39,45,25,31,5,8,1
2014-09-05,18,50,23,46,1,9,3
2014-09-09,15,35,19,8,24,10,8
2014-09-12,31,9,33,26,13,7,11
2014-09-16,4,30,35,50,29,4,2
2014-09-19,6,34,8,38,48,9,3
2014-09-23,13,35,14,29,12,1,7
2014-09-26,46,35,47,13,27,1,2
2014-09-30,33,13,15,3,42,5,7
2014-10-03,13,23,50,48,4,10,5
2014-10-07,38,30,21,9,28,8,1
2014-10-10,29,42,47,45,6,9,10
2014-10-14,15,23,32,4,5,7,3
2014-10-17,49,13,48,1,40,8,10
2014-10-21,40,33,27,20,21,3,10
2014-10-24,42,20,3,30,9,6,1
2014-10-28,45,17,40,10,15,1,2
2014-10-31,10,41,13,20,33,9,3
2014-11-04,1,13,6,26,17,3,5
2014-11-07,32,13,38,46,25,10,1
2014-11-11,46,14,36,2,21,11,7
2014-11-14,36,32,38,48,17,8,5
2014-11-18,3,2,36,38,17,11,4
2014-11-21,28,32,7,37,4,5,10
2014-11-25,32,7,36,3,25,1,6
2014-11-28,10,23,6,41,15,10,4
2014-12-02,15,25,3,49,44,9,1
2014-12-05,5,8,48,47,37,3,2
2014-12-09,31,1,3,42,46,11,4
2014-12-12,28,2,15,31,37,4,6
2014-12-16,13,7,3,25,12,5,8
2014-12-19,39,44,23,29,31,5,8
2014-12-23,49,25,9,19,8,10,2
2014-12-26,26,45,27,49,17,2,3
2014-12-30,6,18,39,50,44,11,8
2015-01-02,24,25,49,28,22,3,6
2015-01-06,20,38,30,14,49,4,3
2015-01-09,6,32,45,21,24,1,11
2015-01-13,34,31,21,8,17,10,9
2015-01-16,34,32,29,30,46,6,3
2015-01-20,33,47,15,41,44,10,8
2015-01-23,30,45,29,38,6,8,1
2015-01-27,10,33,5,31,40,10,8
2015-01-30,9,24,15,13,19,3,8
2015-02-03,50,44,17,31,33,11,7
2015-02-06,50,30,10,26,39,8,7
2015-02-10,30,45,20,13,17,9,10
2015-02-13,24,12,39,44,42,3,11
2015-02-17,5,2,18,43,30,10,1
2015-02-20,37,46,10,4,14,4,7
2015-02-24,3,28,25,34,50,1,11
2015-02-27,17,25,14,5,47,10,9
2015-03-03,6,21,13,8,11,8,7
2015-03-06,47,30,49,50,23,7,2
2015-03-10,31,30,2,6,23,10,2
2015-03-13,4,5,22,18,23,3,1
2015-03-17,11,23,44,38,26,8,1
2015-03-20,3,14,42,48,37,1,10
2015-03-24,40,10,39,24,26,3,10
2015-03-27,30,39,32,44,2,10,6
2015-03-31,8,28,20,24,49,8,9
2015-04-03,39,37,49,29,27,4,2
2015-04-07,39,25,50,44,18,8,5
2015-04-10,25,43,22,23,30,5,9
2015-04-14,49,34,32,24,35,2,1
2015-04-17,39,2,34,24,30,11,8
2015-04-21,14,42,17,6,45,8,1
2015-04-24,31,5,40,29,19,3,10
2015-04-28,36,24,28,26,45,10,7
2015-05-01,19,26,20,25,3,6,10
2015-05-05,1,17,10,42,20,9,8
2015-05-08,14,19,49,7,47,10,3
2015-05-12,29,30,14,46,40,3,6
2015-05-15,47,42,44,5,35,9,8
2015-05-19,35,37,31,26,30,11,8
2015-05-22,18,44,35,24,45,5,11
2015-05-26,6,24,7,21,5,6,5
2015-05-29,4,20,48,45,3,8,6
2015-06-02,23,7,41,29,37,1,8
2015-06-05,8,7,2,48,45,9,1
2015-06-09,5,34,17,9,32,8,6
2015-06-12,11,10,37,5,8,9,7
2015-06-16,15,10,36,16,37,3,9
2015-06-19,7,14,20,31,42,9,3
2015-06-23,16,38,4,22,49,6,9
2015-06-26,10,19,6,3,24,5,7
2015-06-30,11,28,15,34,37,1,8
2015-07-03,11,18,44,15,12,3,9
2015-07-07,7,41,33,18,6,10,3
2015-07-10,35,8,15,5,41,5,4
2015-07-14,34,18,36,19,6,1,8
2015-07-17,21,48,22,1,43,9,7
2015-07-21,14,29,44,27,20,10,7
2015-07-24,21,46,2,9,35,2,11
2015-07-28,36,23,49,43,32,8,7
2015-07-31,34,21,16,50,40,6,9
2015-08-04,50,15,39,10,45,10,9
2015-08-07,1,5,21,44,39,4,11
2015-08-11,2,16,3,15,8,4,11
2015-08-14,45,4,44,7,39,3,5
2015-08-18,7,10,19,12,11,2,9
2015-08-21,47,4,16,18,43,10,6
2015-08-25,31,33,50,27,42,5,2
2015-08-28,11,34,30,29,31,4,7
2015-09-01,6,27,45,19,21,8,1
2015-09-04,27,8,45,9,50,8,10
2015-09-08,42,14,40,39,16,1,4
2015-09-11,19,50,10,29,18,9,1
2015-09-15,44,8,15,17,49,5,8
2015-09-18,39,34,33,7,29,8,7
2015-09-22,27,14,23,29,26,7,10
2015-09-25,14,37,30,13,23,8,2
2015-09-29,14,49,26,11,29,3,9
2015-10-02,21,35,7,32,18,11,2
2015-10-06,22,32,29,11,20,1,8
2015-10-09,43,42,47,40,1,9,11
2015-10-13,26,15,12,47,29,11,3
2015-10-16,28,43,7,48,29,3,10
2015-10-20,21,19,30,45,17,8,10
2015-10-23,25,7,32,39,30,2,8
2015-10-27,11,20,25,36,12,9,6
2015-10-30,34,13,17,8,21,6,7
2015-11-03,39,27,49,8,46,2,6
2015-11-06,26,40,38,17,3,4,10
2015-11-10,43,39,13,6,18,2,8
2015-11-13,33,10,18,40,17,8,2
2015-11-17,6,37,23,38,7,11,10
2015-11-20,34,49,30,46,4,8,7
2015-11-24,26,14,17,9,16,10,11
2015-11-27,50,16,30,37,29,6,8
2015-12-01,35,15,45,25,2,10,8
2015-12-04,17,27,18,39,8,7,1
2015-12-08,48,29,12,38,17,9,11
2015-12-11,43,5,21,3,40,11,6
2015-12-15,11,27,35,8,23,4,11
2015-12-18,22,6,26,29,48,5,6
2015-12-22,19,41,18,40,20,7,10
2015-12-25,10,27,40,3,25,9,3
2015-12-29,5,36,32,31,20,6,7
2016-01-01,44,37,38,39,4,4,7
2016-01-05,36,10,6,39,31,6,10
2016-01-08,35,33,26,40,5,3,8
2016-01-12,2,10,30,44,1,1,8
2016-01-15,43,38,19,10,46,1,11
2016-01-19,2,30,38,43,46,7,2
2016-01-22,27,10,30,47,12,9,8
2016-01-26,15,40,24,48,38,2,9
2016-01-29,29,32,23,1,5,1,7
2016-02-02,36,21,10,6,9,6,2
2016-02-05,46,32,27,3,41,4,8
2016-02-09,9,6,13,28,37,4,5
2016-02-12,31,49,28,20,3,5,2
2016-02-16,3,22,50,10,37,6,10
2016-02-19,32,13,14,39,30,3,9
2016-02-23,42,32,23,25,37,11,1
2016-02-26,13,50,5,33,15,9,11
2016-03-01,37,7,28,13,4,11,10
2016-03-04,9,23,40,16,14,1,5
2016-03-08,9,14,23,8,1,7,1
2016-03-11,26,43,1,21,40,9,6
2016-03-15,7,10,5,44,34,10,2
2016-03-18,14,49,21,19,24,5,11
2016-03-22,15,49,12,26,42,5,8
2016-03-25,43,36,12,42,19,8,5
2016-03-29,4,25,19,36,1,3,11
2016-04-01,23,25,2,49,16,6,9
2016-04-05,3,19,40,9,5,5,2
2016-04-08,43,8,49,6,26,10,6
2016-04-12,9,1,5,22,38,10,2
2016-04-15,13,32,37,14,48,1,7
2016-04-19,27,14,44,15,11,7,2
2016-04-22,32,43,26,34,17,2,10
2016-04-26,10,42,17,32,31,2,5
2016-04-29,4,25,28,5,43,6,11
2016-05-03,23,34,8,24,38,3,7
2016-05-06,45,48,40,34,32,10,1
2016-05-10,40,2,26,27,49,10,5
2016-05-13,31,28,42,15,7,10,11
2016-05-17,32,27,39,36,15,3,10
2016-05-20,41,9,30,14,45,4,9
2016-05-24,37,17,34,16,23,9,6
2016-05-27,46,27,13,43,25,4,8
2016-05-31,6,30,26,48,12,6,7
2016-06-03,7,31,39,23,33,6,10
2016-06-07,26,49,19,45,35,2,5
2016-06-10,21,35,42,14,43,7,9
2016-06-14,13,50,42,39,34,11,9
2016-06-17,43,1,18,27,7,8,4
2016-06-21,32,35,17,49,5,5,1
2016-06-24,11,19,39,28,27,3,10
2016-06-28,43,37,32,26,49,5,4
2016-07-01,11,50,13,40,2,10,1
2016-07-05,38,29,10,48,1,4,3
2016-07-08,12,18,8,44,33,8,4
2016-07-12,26,3,41,33,7,2,10
2016-07-15,2,11,14,13,21,1,8
2016-07-19,24,37,19,28,36,6,3
2016-07-22,26,45,24,7,37,9,5
2016-07-26,13,49,10,45,3,11,2
2016-07-29,40,26,50,1,21,4,2
2016-08-02,27,46,38,2,8,2,6
2016-08-05,19,16,24,37,35,2,7
2016-08-09,19,43,44,12,45,10,5
2016-08-12,15,50,36,2,28,11,2
2016-08-16,34,37,46,26,2,4,8
2016-08-19,22,6,5,25,34,7,5
2016-08-23,2,31,45,37,23,8,4
2016-08-26,48,9,30,28,1,7,8
2016-08-30,29,42,13,16,35,6,8
2016-09-02,50,40,16,32,8,2,11
2016-09-06,45,12,34,24,30,7,10
2016-09-09,28,4,11,17,15,1,3
2016-09-13,44,16,4,7,35,3,1
2016-09-16,32,5,22,8,14,2,11
2016-09-20,45,41,4,1,10,9,6
2019-03-01,9,19,26,31,6,12,11
2019-03-05,16,10,46,39,6,8,11
2019-03-08,40,17,24,19,18,8,4
2019-03-12,5,13,7,19,31,9,2
2019-03-15,46,24,42,15,3,12,9
2019-03-19,9,6,1,47,34,12,7
2019-03-22,17,43,26,4,30,11,6
2019-03-26,47,43,19,23,12,2,6
2019-03-29,13,23,26,47,32,6,10
2019-04-02,9,26,16,2,36,6,7
2019-04-05,7,45,10,1,29,5,3
2019-04-09,38,41,18,29,21,1,11
2019-04-12,46,28,1,35,36,6,9
2019-04-16,1,49,15,8,44,2,11
2019-04-19,32,49,8,7,41,11,5
2019-04-23,23,44,18,27,42,7,2
2019-04-26,33,35,50,47,14,11,9
2019-04-30,20,26,12,48,5,2,11
2019-05-03,2,20,27,43,9,5,6
2019-05-07,32,20,47,7,26,2,11
2019-05-10,1,45,27,4,48,7,1
2019-05-14,14,25,50,10,17,2,10
2019-05-17,42,16,28,43,45,6,7
2019-05-21,47,32,34,33,39,12,8
2019-05-24,5,30,49,23,16,7,6
2019-05-28,28,7,29,19,20,1,5
2019-05-31,1,26,23,35,24,11,1
2019-06-04,31,32,9,39,41,8,2
2019-06-07,34,16,4,1,20,2,5
2019-06-11,27,46,42,25,39,11,12
2019-06-14,30,1,39,13,31,2,7
2019-06-18,44,40,12,37,24,3,7
2019-06-21,9,8,39,25,5,3,7
2019-06-25,27,34,6,26,46,1,9
2019-06-28,1,33,3,49,16,2,11
2019-07-02,19,44,11,29,45,12,8
2019-07-05,20,2,42,34,9,9,6
2019-07-09,32,7,41,36,29,7,6
2019-07-12,2,31,39,45,47,8,4
2019-07-16,5,13,18,39,3,8,7
2019-07-19,26,17,13,14,28,7,2
2019-07-23,38,19,23,1,14,7,3
2019-07-26,27,2,42,5,37,10,3
2019-07-30,15,27,23,40,20,3,6
2019-08-02,33,44,13,22,50,5,2
2019-08-06,38,12,29,36,13,4,12
2019-08-09,35,41,14,2,42,11,10
2019-08-13,31,13,33,29,40,2,3
