date,n1,n2,n3,n4,n5,e1,e2,pos_sun,pos_moon,pos_merc,pos_ven,pos_mars,pos_jup,pos_sat,moon_illum
2023-04-28,34,23,11,13,16,1,10,37.14830788167323,128.35581587240245,43.39742650241702,78.98188187363623,107.03404272668685,25.301071503488707,334.86132298000405,0.512299780573447
2023-05-02,48,44,32,7,47,8,7,41.034518128098576,176.49915955161688,40.998128868823024,83.47389347679078,109.22606049017152,26.251389466931098,335.155891587727,0.8569183846810038
2023-05-05,34,8,49,18,3,3,7,43.94345417467004,214.8738933373181,39.08105712545946,86.81137343845722,110.8825097819948,26.959680144626404,335.3634122269647,0.9939882861919168
2023-05-09,21,28,13,17,46,9,7,47.815330857018665,269.94348183966304,36.92902055249588,91.21577442832888,113.10664190915163,27.89727937268724,335.62160064744967,0.8698811875371542
2023-05-12,9,44,13,39,10,6,4,50.71498949259901,312.70676197864145,35.90665727271062,94.4825834529606,114.78600767587864,28.59479897346717,335.8009108915967,0.5707181520025322
2023-05-16,14,6,9,4,37,4,11,54.576288169170304,8.945426520959408,35.56014573375311,98.78597704954883,117.03992099344961,29.516256866688533,336.02016481631665,0.15142287065897997
2023-05-19,41,27,34,49,18,3,9,57.468572176866836,49.43146722079812,36.10236437492875,101.97098567575178,118.74116225892428,30.200132680837882,336.16924835114133,0.005148146079076377
2023-05-23,34,5,14,6,23,11,2,61.319574356723734,100.22271899336872,37.84960756770144,106.15461362530853,121.02315230696742,31.101124168995646,336.34693352331203,0.11308850521134767
2023-05-26,38,25,15,37,41,1,7,64.20354758624215,136.27318388616627,39.86648293531229,109.23981481998831,122.74425105704131,31.767939063338172,336.4640436028319,0.3484469239798633
2023-05-30,27,47,33,29,32,8,2,68.043123454745,184.38264384000556,43.401171527227966,113.27461577016108,125.05093251663598,32.64403139350581,336.5982663151299,0.7227473893134025
2023-06-02,25,3,15,43,12,10,11,70.91877562259955,223.08181487964583,46.629882037764105,116.23489590759102,126.78931284361362,33.29066284184544,336.6822842958331,0.9428202514839948
2023-06-06,21,13,39,32,50,10,2,74.74852425758095,279.69727779372596,51.64387273424625,120.08343313821048,129.11779512881606,34.13796610283787,336.77185604916383,0.9516444604298459
2023-06-09,18,26,36,50,41,11,12,77.61840149569805,323.53716192457296,55.90936733146861,122.88819041490062,130.87207440940887,34.76161923573386,336.822017283898,0.7042117195303068
2023-06-13,15,16,21,50,41,5,6,81.44276152309678,19.362606049900926,62.24714634999375,126.50641224981887,133.22185357268617,35.57624131957526,336.8659289854125,0.26699281661083896
2023-06-16,34,7,41,26,44,9,11,84.3096696668601,58.7358390188644,67.47645995838022,129.11867804005126,134.992293602939,36.173609935566795,336.88148795783354,0.04993648635644082
2023-06-20,35,28,11,32,17,6,5,88.13018361193987,108.57983031399776,75.0519208278428,132.4477336933666,137.3634289903177,36.95057202483434,336.8790101534992,0.033381256679442584
2023-06-23,11,3,33,46,1,10,11,90.99385468772144,144.4512252585936,81.13609541982615,134.81362044896377,139.14936897699886,37.51772335812963,336.8598146171357,0.20472385921223574
2023-06-27,27,22,44,17,23,7,1,94.80971281435588,192.42193640890065,89.64424865952847,137.7670133270122,141.54023021523074,38.251874960516766,336.81136754420464,0.5671434851450824
2023-06-30,29,25,6,36,1,10,7,97.66996993778115,231.12371668929012,96.17955781807636,139.81019125675286,143.34026267566898,38.785117212779696,336.75815874037926,0.8445370011923208
2023-07-04,23,36,44,17,14,8,2,101.48221821973262,288.69629061616394,104.863322212074,142.27039054663373,145.7492171438671,39.47178277542972,336.66519163392513,0.9942098116753056
2023-07-07,2,12,19,11,38,8,4,104.34124876766046,333.6469707181811,111.21512549116976,143.89150141447558,147.5626923120263,39.967718679289476,336.57928910621,0.8259094933286211
2023-07-11,48,28,2,11,42,4,9,108.15441742031867,29.715606687305577,119.33543796133867,145.71289445260115,149.99007150501637,40.60215363502858,336.44370571172465,0.4002446800080752
2023-07-14,5,29,48,8,35,5,6,111.01559093585789,68.37955232045213,125.11801337924695,146.79278177660493,151.81788610697694,41.05678460039254,336.3266749546679,0.13343674495731533
2023-07-18,34,35,12,4,45,9,1,114.83219699917345,117.34637827947023,132.39356328038775,147.8013620513834,154.2646880687361,41.63306334504557,336.1510384483539,0.0023571318848407685
2023-07-21,7,35,33,36,31,10,7,117.69577398051179,153.019231925979,137.5221701050198,148.19977324309423,156.1069308304209,42.041783529859295,336.0053419549625,0.09421141876663408
2023-07-25,11,7,27,5,37,12,6,121.51521515232976,200.92047526728504,143.92443850328414,148.20822889546764,158.57249719362176,42.55394533662002,335.7936817363648,0.4092563267413273
2023-07-28,38,7,34,32,33,9,6,124.38079881680399,239.448634865351,148.39689153300563,147.80103117173604,160.42840515329925,42.91252339037449,335.6228166331274,0.7124477119781066
2023-08-01,35,27,25,45,40,7,11,128.20338190348699,297.161836484454,153.9066018033524,146.70241150855637,162.91176229086858,43.3552819660633,335.38027817542223,0.9889560023636512
2023-08-04,15,31,48,20,44,1,3,131.07246786220423,342.8377840195757,157.67833812813916,145.48742691729024,164.78100962882544,43.65995509200801,335.1883234092894,0.9250880265913173
2023-08-08,40,8,33,9,35,6,3,134.9021929088691,39.5422338819004,162.17651601284703,143.43653735517321,167.2827966863478,44.02818861909572,334.92045070057287,0.5468168372100456
2023-08-11,10,13,34,4,6,3,5,137.7783012134661,77.95609636540706,165.10020175396818,141.67211555447682,169.16654278828855,44.27476393556225,334.7116824660386,0.2494865737041596
2023-08-15,3,32,5,43,9,6,10,141.6183344626947,126.32336982711266,168.28977717300725,139.1989021527432,171.68824458541656,44.5624984150542,334.42462552437405,0.019514025319592843
